User_SubFunctional_Area,User_Experience (Years),Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Match_Score
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.71
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,1,1,engineering,construction,0.86
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.75
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,0.84
Network / System Administration,6-12 exp,0,0,engineering,construction,0.86
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
Network / System Administration,6-12 exp,0,0,engineering,construction,0.86
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
Telecom Network Design / Management,6-12 exp,0,1,engineering,construction,0.86
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,engineering,construction,0.73
Hardware / Telecom Equipment Design,12+,0,0,engineering,construction,0.86
"Embedded, VLSI",12+,0,0,engineering,construction,0.76
Network / System Administration,12+,0,0,engineering,construction,1.0
"Embedded, VLSI",12+,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.79
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
Network / System Administration,6-12 exp,0,0,export,importtrading,0.84
Network / System Administration,6-12 exp,0,0,export,importtrading,0.84
Network / System Administration,6-12 exp,0,0,export,importtrading,0.84
Network / System Administration,6-12 exp,0,0,export,importtrading,0.73
Network / System Administration,6-12 exp,1,0,export,importtrading,1.0
Network / System Administration,6-12 exp,0,0,fmcg,f&b,1.0
"Embedded, VLSI",6-12 exp,0,0,fresher,noindustry,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,fresher,noindustry,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,fresher,noindustry,0.84
Hardware / Telecom Equipment Design,6-12 exp,1,1,fresher,noindustry,0.86
"Embedded, VLSI",6-12 exp,0,0,furnishings,sanitarywareelectricals,0.76
Telecom Network Design / Management,6-12 exp,0,0,furnishings,sanitarywareelectricals,0.82
Hardware / Telecom Equipment Design,6-12 exp,0,1,furnishings,sanitarywareelectricals,0.74
"Embedded, VLSI",6-12 exp,0,0,government,department,0.76
"Embedded, VLSI",6-12 exp,0,0,government,department,0.76
"Embedded, VLSI",6-12 exp,1,0,government,department,1.0
"Embedded, VLSI",6-12 exp,1,0,government,department,0.76
"Embedded, VLSI",6-12 exp,1,0,government,department,0.76
"Embedded, VLSI",6-12 exp,0,0,government,department,1.0
"Embedded, VLSI",6-12 exp,0,0,government,department,0.76
"Embedded, VLSI",6-12 exp,0,0,government,department,1.0
"Embedded, VLSI",6-12 exp,0,0,government,department,1.0
"Embedded, VLSI",6-12 exp,1,0,government,department,0.76
Telecom Network Design / Management,6-12 exp,1,0,government,department,0.84
Network / System Administration,6-12 exp,0,0,government,department,0.76
Network / System Administration,6-12 exp,0,1,government,department,0.78
Network / System Administration,6-12 exp,0,0,government,department,0.86
"Embedded, VLSI",6-12 exp,0,0,government,department,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,government,department,1.0
"Embedded, VLSI",6-12 exp,0,0,government,department,0.76
Network / System Administration,6-12 exp,0,0,hotel,restaurant,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,hotel,restaurant,0.76
Telecom Network Design / Management,12+,0,1,hotel,restaurant,1.0
Network / System Administration,12+,0,0,hotel,restaurant,1.0
Telecom Network Design / Management,6-12 exp,0,0,hotel,restaurant,0.72
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
Network / System Administration,6-12 exp,0,1,industrial,design,0.86
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,1,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,1,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.71
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",6-12 exp,0,0,industrial,design,0.76
"Embedded, VLSI",12+,0,0,industrial,design,0.76
Network / System Administration,6-12 exp,0,0,insurance,insurance,0.84
Network / System Administration,6-12 exp,0,0,insurance,insurance,0.77
Network / System Administration,6-12 exp,0,0,insurance,insurance,0.86
Network / System Administration,12+,0,0,insurance,insurance,0.73
Network / System Administration,12+,0,0,insurance,insurance,1.0
Network / System Administration,12+,0,0,insurance,insurance,1.0
Network / System Administration,6-12 exp,0,0,insurance,insurance,1.0
Network / System Administration,6-12 exp,0,0,internet,ecommerce,0.77
Hardware / Telecom Equipment Design,6-12 exp,0,0,internet,ecommerce,0.78
Network / System Administration,6-12 exp,0,0,internet,ecommerce,0.76
Network / System Administration,6-12 exp,0,0,internet,ecommerce,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,1.0
Telecom Network Design / Management,6-12 exp,0,1,it,hardwarenetworking,0.86
Telecom Network Design / Management,6-12 exp,0,1,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
Telecom Network Design / Management,6-12 exp,0,1,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Telecom Network Design / Management,6-12 exp,1,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.82
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.9
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.82
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.74
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.89
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.81
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,1,1,it,hardwarenetworking,0.76
Telecom Network Design / Management,6-12 exp,0,0,it,hardwarenetworking,0.86
Telecom Network Design / Management,6-12 exp,0,1,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
Telecom Network Design / Management,6-12 exp,1,1,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.78
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,1,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.88
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.82
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.71
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.79
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.73
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,1,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.89
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,1,1,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.78
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Telecom Network Design / Management,6-12 exp,0,0,it,hardwarenetworking,0.84
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.84
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.89
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.73
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,1,1,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.74
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,1,1,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.74
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.84
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.8
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,1.0
Telecom Network Design / Management,6-12 exp,0,0,it,hardwarenetworking,0.86
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.78
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,1,1,it,hardwarenetworking,0.87
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.78
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,1,0,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.73
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.73
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.9
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.82
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.89
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.84
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,1,0,it,hardwarenetworking,0.76
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.73
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,1.0
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
Network / System Administration,6-12 exp,0,0,it,hardwarenetworking,0.86
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.76
Telecom Network Design / Management,6-12 exp,0,0,it,hardwarenetworking,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,1,it,hardwarenetworking,1.0
"Embedded, VLSI",6-12 exp,0,0,it,hardwarenetworking,0.76
Network / System Administration,6-12 exp,0,1,it,hardwarenetworking,0.84
Hardware / Telecom Equipment Design,6-12 exp,0,0,it,hardwarenetworking,0.84
